station,start_count,end_count,total_count
"St Mary's Hospital, Westminster",1382,171400,172782
"Queen's Gate (Central), South Kensington",86392,86293,172685
"Bell Street , Marylebone",88333,84336,172669
"Ram Street, Wandsworth",85117,87490,172607
"Durant Street, Bethnal Green",91293,80814,172107
"Concert Hall Approach 2, South Bank",77888,94213,172101
"Philpot Street, Whitechapel",88907,82985,171892
"City Road, Angel",96346,75426,171772
"Speakers' Corner 1, Hyde Park",85835,85884,171719
"Allington street, Westminster",24366,147177,171543
"North Wharf Road, Paddington",89989,81343,171332
"Tyers Gate, Bermondsey",84644,86656,171300
"Lexham Gardens, Kensington",87604,83262,170866
"Cadogan Place, Knightsbridge",79972,90610,170582
"Great Percy Street, Clerkenwell",89254,80940,170194
"Albert Embankment, Vauxhall",87629,82499,170128
"Exhibition Road Museums 1, South Kensington",28696,140809,169505
"East Road, Hoxton",89366,79384,168750
"Battersea Church Road, Battersea",86438,81591,168029
"Clinton Road, Mile End",83628,83945,167573
"Bishop's Avenue, Fulham",83322,84182,167504
"St. John's Road, Clapham Junction",78474,89021,167495
"Putney Bridge Station, Fulham",83335,84138,167473
"Rainville Road, Hammersmith",84457,82966,167423
"Regency Street, Westminster",86133,81122,167255
"Concert Hall Approach 1, South Bank",80905,86043,166948
"Aintree Street, Fulham",85436,80688,166124
"Ormonde Gate, Chelsea",83002,82989,165991
"Salmon Lane, Limehouse",84634,81290,165924
"Trebovir Road, Earl's Court",84238,81680,165918
"Abingdon Green, Great College Street",4669,161190,165859
"Mile End Stadium, Mile End",84689,81024,165713
"Emperor's Gate, South Kensington",83551,82106,165657
"Great Suffolk Street, The Borough",84234,81279,165513
"Webber Street , Southwark",86116,79303,165419
"Kennington Road Post Office, Oval",83699,81288,164987
"Knaresborough Place, Earl's Court",83226,80807,164033
"Grove End Road, St. John's Wood",86856,76934,163790
"Bow Road Station, Bow",84680,78927,163607
"Percival Street, Finsbury",85957,76910,162867
"Parkway, Camden Town",76326,86317,162643
"Union Grove, Wandsworth Road",82191,79920,162111
"London Zoo,  The Regent's Park",80564,81097,161661
"Garnet Street, Shadwell",82446,77741,160187
"Foley Street, Fitzrovia",79967,79957,159924
"St. Chad's Street, King's Cross",75245,84470,159715
"Mile End Park Leisure Centre, Mile End",81783,77896,159679
"Appold Street, Liverpool Street",51593,107988,159581
"Seymour Place, Marylebone",81706,77652,159358
"Halford Road, West Kensington",79975,79165,159140
"Southwark Station 1, Southwark",75249,83844,159093
"Stratford Station, Stratford",77892,80884,158776
"George Place Mews, Marylebone",79840,78786,158626
"Claverton Street, Pimlico",84078,74242,158320
"Wandsworth Rd, Isley Court, Wandsworth Road",81620,76423,158043
"Westminster University, Marylebone",79282,78290,157572
"Bevington Road West, North Kensington",79520,78018,157538
"Prince Consort Road, Knightsbridge",75246,81983,157229
"London Zoo Car Park, The Regent's Park",79496,77519,157015
"Hortensia Road, West Brompton",79828,76946,156774
"Hibbert Street, Battersea",74429,82222,156651
"Shouldham Street, Marylebone",80727,75893,156620
"Archbishop's Park, Waterloo",75572,81042,156614
"William Morris Way, Sands End",78251,78260,156511
"Warwick Row, Westminster",57477,98615,156092
"Watney Market, Stepney",80877,74364,155241
"Royal College Street, Camden Town",83142,72036,155178
"West Cromwell Road, Earl's Court",79312,75721,155033
"New Kent Road, The Borough",76667,77868,154535
"Cephas Street, Bethnal Green",80702,73825,154527
"Alfreda Street, Battersea Park",78258,76200,154458
"Gloucester Road (Central), South Kensington",77185,76608,153793
"Borough Road, Elephant & Castle",76239,77230,153469
"Butler Place, Westminster",71507,81555,153062
"Curzon Street, Mayfair",71579,81307,152886
"The Vale, West Chelsea",22743,129856,152599
"Fashion Street, Whitechapel",75737,76676,152413
"Park Road (Baker Street), Regent's Park",5304,146746,152050
"Walnut Tree Walk, Vauxhall",80935,70909,151844
"Fore Street, Guildhall",72411,78875,151286
"Drayton Gardens, Chelsea",4808,146295,151103
"Chepstow Villas, Notting Hill",82636,68436,151072
"Worship Street, Shoreditch",42731,107988,150719
"Fulham Park Road, Fulham",76629,73985,150614
"St. Mark's Road, North Kensington",75381,75229,150610
"Scala Street, Fitzrovia",73802,76776,150578
"Shoreditch Court, Haggerston",78861,71666,150527
"Burdett Road, Mile End",75330,74989,150319
"Kennington Station, Kennington",75127,75189,150316
"Ossulston Street, Somers Town",76384,73870,150254
"Vincent Street, Pimlico",76180,73919,150099
"Richmond Way, Shepherd's Bush",74988,74483,149471
"Arlington Road, Camden Town",74516,74479,148995
"Lambeth North Station, Waterloo",74388,74411,148799
"Silverthorne Road, Battersea",75185,73433,148618
"South Park, Sands End",75711,72627,148338
"Rathbone Street, Fitzrovia",72897,75272,148169
"Allington street, Westminster, SW1E 5EB",704,147177,147881
"Finsbury Library , Finsbury",77619,70249,147868
"Drummond Street , Euston",83566,64301,147867
"Margery Street, Clerkenwell",76208,71425,147633
"Albert Square, Stockwell",76732,70528,147260
"Allington street, Off Victoria Street, Westminster",55,147177,147232
"Exhibition Road Museums, Knightsbridge",6415,140809,147224
"Maclise Road, Olympia",74419,72431,146850
"Cloudesley Road, Angel",90573,56171,146744
"Shepherd's Bush Road North, Shepherd's Bush",72722,73738,146460
"Park Street, Bankside",71847,74529,146376
"Bonner Gate, Victoria Park",73097,73016,146113
"Humbolt Road, Fulham",75185,70763,145948
"Ashley Crescent, Battersea",75114,70648,145762
"Chelsea Green, Chelsea",71925,73555,145480
"BBC White City, White City",71155,74126,145281
"Nutford Place, Marylebone",74772,70507,145279
"Ashmole Estate, Oval",74581,70485,145066
"Wapping High Street, Wapping",73144,71684,144828
"Collingham Gardens, Earl's Court",74369,69904,144273
"Gloucester Terrace, Bayswater",75319,68539,143858
"Cleveland Way, Bethnal Green",3709,140103,143812
"Hoxton Station, Hoxton",74748,69008,143756
"Lots Road, West Chelsea",73140,70558,143698
"Ampton Street , Clerkenwell",76588,67108,143696
"Newton Street, Covent Garden",69471,73971,143442
"Putney Pier, Wandsworth",67538,75903,143441
"Woodstock Street, Mayfair",71420,71978,143398
"Gaywood  Street, Elephant & Castle",72699,70607,143306
"Wells Street, Fitzrovia ",3010,140120,143130
"Sumner Place, South Kensington",70609,72275,142884
"Pembridge Villas, Notting Hill",74915,67864,142779
"Red Lion Square, Holborn",72914,69756,142670
"Wood Street, Guildhall",69314,73332,142646
"Falkirk Street, Hoxton",74305,68295,142600
"Surrey Lane, Battersea",74362,68079,142441
"Jubilee Street, Stepney",77524,64770,142294
"Park Lane, Mayfair",71816,70198,142014
"Bruton Street, Mayfair",67165,74762,141927
"Belvedere Road 2, South Bank",67787,73570,141357
"Westbourne Park Road, Portobello",72767,68228,140995
"Exhibition Road, South Kensington",137,140809,140946
Imperial Wharf Station,10495,130380,140875
"Argyll Road, Kensington",69772,71034,140806
"Rotherhithe Roundabout, Rotherhithe",20518,119722,140240
"Saltoun Road, Brixton",66238,73994,140232
"Eel Brook Common, Walham Green",71631,68284,139915
"Store Street, Bloomsbury",25133,114506,139639
"Lower Thames Street, Monument",69086,70544,139630
"Maida Vale, Maida Vale",66384,72985,139369
"Harrington Square 2, Camden Town",72659,66565,139224
"Cheshire Street, Bethnal Green",75558,63621,139179
"Westfield Ariel Way, White City",66486,72480,138966
"Lambeth Road, Vauxhall",71044,67845,138889
"Bancroft Road, Bethnal Green",72964,65731,138695
"Victoria & Albert Museum, South Kensington",65680,72818,138498
"Northdown Street, King's Cross",71053,67239,138292
"Southerton Road, Hammersmith",66980,71142,138122
"Vauxhall Walk, Vauxhall",68262,69613,137875
"Charing Cross Hospital, Hammersmith",69741,68023,137764
"Pancras Road, King's Cross",69504,68239,137743
"Sea Containers, South Bank",68013,68804,136817
"Osiers Road, Wandsworth",68786,67455,136241
"St. John's Wood Church, The Regent's Park",75217,60912,136129
"Gas Holders, Battersea Park",67777,68180,135957
"Queensway, Westminster",1274,134501,135775
"Brook Green South, Brook Green",68240,67382,135622
"Antill Road, Mile End",70642,64953,135595
"Cranmer Road, Stockwell",67628,67686,135314
"Michael Road, Walham Green",68173,67004,135177
"Queensway, Paddington",522,134501,135023
"Royal Avenue 1, Chelsea",65658,69252,134910
"Rochester Row, Westminster",64043,70744,134787
